[05:14:45] [INFO] ============================================================
[05:14:45] [INFO] GAME LOG STARTED
[05:14:45] [INFO] ============================================================
[05:14:45] [INFO] Timestamp: 2026-01-18T05:14:45
[05:14:45] [INFO] Log file: I:/Загрузки/godot exe/game_log_20260118_051445.txt
[05:14:45] [INFO] Executable: I:/Загрузки/godot exe/Godot-Top-Down-Template.exe
[05:14:45] [INFO] OS: Windows
[05:14:45] [INFO] Debug build: false
[05:14:45] [INFO] Engine version: 4.3-stable (official)
[05:14:45] [INFO] Project: Godot Top-Down Template
[05:14:45] [INFO] ------------------------------------------------------------
[05:14:45] [INFO] [GameManager] GameManager ready
[05:14:45] [ENEMY] [Enemy1] Enemy spawned at (300, 350), health: 4, behavior: GUARD, player_found: yes
[05:14:45] [ENEMY] [Enemy2] Enemy spawned at (400, 550), health: 4, behavior: GUARD, player_found: yes
[05:14:45] [ENEMY] [Enemy3] Enemy spawned at (700, 750), health: 3, behavior: GUARD, player_found: yes
[05:14:45] [ENEMY] [Enemy4] Enemy spawned at (800, 900), health: 3, behavior: GUARD, player_found: yes
[05:14:45] [ENEMY] [Enemy5] Enemy spawned at (1700, 350), health: 4, behavior: GUARD, player_found: yes
[05:14:45] [ENEMY] [Enemy6] Enemy spawned at (1950, 450), health: 4, behavior: GUARD, player_found: yes
[05:14:45] [ENEMY] [Enemy7] Enemy spawned at (1606.114, 893.8859), health: 4, behavior: PATROL, player_found: yes
[05:14:45] [ENEMY] [Enemy8] Enemy spawned at (1900, 1450), health: 2, behavior: GUARD, player_found: yes
[05:14:45] [ENEMY] [Enemy9] Enemy spawned at (2100, 1550), health: 3, behavior: GUARD, player_found: yes
[05:14:45] [ENEMY] [Enemy10] Enemy spawned at (1200, 1550), health: 3, behavior: PATROL, player_found: yes
[05:14:52] [INFO] [GameManager] Debug mode toggled: ON
[05:14:54] [ENEMY] [Enemy10] State: IDLE -> COMBAT
[05:14:54] [ENEMY] [Enemy10] State: COMBAT -> PURSUING
[05:14:55] [ENEMY] [Enemy3] State: IDLE -> COMBAT
[05:14:55] [ENEMY] [Enemy3] Hit taken, health: 2/3
[05:14:55] [ENEMY] [Enemy3] State: COMBAT -> PURSUING
[05:14:55] [ENEMY] [Enemy3] Hit taken, health: 1/3
[05:14:55] [ENEMY] [Enemy3] State: PURSUING -> RETREATING
[05:14:55] [ENEMY] [Enemy3] Hit taken, health: 0/3
[05:14:55] [ENEMY] [Enemy3] Enemy died
[05:15:01] [ENEMY] [Enemy4] State: IDLE -> COMBAT
[05:15:02] [ENEMY] [Enemy4] State: COMBAT -> PURSUING
[05:15:02] [ENEMY] [Enemy10] State: PURSUING -> COMBAT
[05:15:02] [ENEMY] [Enemy10] State: COMBAT -> PURSUING
[05:15:02] [ENEMY] [Enemy4] State: PURSUING -> RETREATING
[05:15:02] [ENEMY] [Enemy4] State: RETREATING -> IN_COVER
[05:15:02] [ENEMY] [Enemy4] State: IN_COVER -> SUPPRESSED
[05:15:02] [ENEMY] [Enemy1] State: IDLE -> COMBAT
[05:15:02] [ENEMY] [Enemy1] State: COMBAT -> PURSUING
[05:15:03] [ENEMY] [Enemy10] State: PURSUING -> FLANKING
[05:15:03] [ENEMY] [Enemy10] State: FLANKING -> COMBAT
[05:15:03] [ENEMY] [Enemy10] State: COMBAT -> PURSUING
[05:15:04] [ENEMY] [Enemy4] State: SUPPRESSED -> IN_COVER
[05:15:04] [ENEMY] [Enemy4] State: IN_COVER -> PURSUING
[05:15:05] [ENEMY] [Enemy10] State: PURSUING -> FLANKING
[05:15:05] [ENEMY] [Enemy10] State: FLANKING -> COMBAT
[05:15:05] [ENEMY] [Enemy10] State: COMBAT -> PURSUING
[05:15:05] [ENEMY] [Enemy10] State: PURSUING -> FLANKING
[05:15:05] [ENEMY] [Enemy10] State: FLANKING -> COMBAT
[05:15:05] [ENEMY] [Enemy10] State: COMBAT -> PURSUING
[05:15:07] [ENEMY] [Enemy10] State: PURSUING -> COMBAT
[05:15:07] [ENEMY] [Enemy10] State: COMBAT -> PURSUING
[05:15:10] [ENEMY] [Enemy4] State: PURSUING -> COMBAT
[05:15:11] [ENEMY] [Enemy1] State: PURSUING -> FLANKING
[05:15:11] [ENEMY] [Enemy1] State: FLANKING -> COMBAT
[05:15:11] [ENEMY] [Enemy1] State: COMBAT -> PURSUING
[05:15:13] [ENEMY] [Enemy1] State: PURSUING -> FLANKING
[05:15:13] [ENEMY] [Enemy1] State: FLANKING -> COMBAT
[05:15:13] [ENEMY] [Enemy1] State: COMBAT -> PURSUING
[05:15:13] [ENEMY] [Enemy4] State: COMBAT -> FLANKING
[05:15:13] [ENEMY] [Enemy4] State: FLANKING -> COMBAT
[05:15:13] [ENEMY] [Enemy4] State: COMBAT -> PURSUING
[05:15:14] [ENEMY] [Enemy10] State: PURSUING -> COMBAT
[05:15:14] [ENEMY] [Enemy1] State: PURSUING -> FLANKING
[05:15:14] [ENEMY] [Enemy1] State: FLANKING -> COMBAT
[05:15:15] [ENEMY] [Enemy1] State: COMBAT -> PURSUING
[05:15:15] [ENEMY] [Enemy4] State: PURSUING -> FLANKING
[05:15:15] [ENEMY] [Enemy4] State: FLANKING -> COMBAT
[05:15:15] [ENEMY] [Enemy4] State: COMBAT -> PURSUING
[05:15:16] [ENEMY] [Enemy1] State: PURSUING -> FLANKING
[05:15:16] [ENEMY] [Enemy1] State: FLANKING -> COMBAT
[05:15:16] [ENEMY] [Enemy1] State: COMBAT -> PURSUING
[05:15:16] [ENEMY] [Enemy4] State: PURSUING -> FLANKING
[05:15:16] [ENEMY] [Enemy4] State: FLANKING -> COMBAT
[05:15:17] [ENEMY] [Enemy10] State: COMBAT -> SEEKING_COVER
[05:15:17] [ENEMY] [Enemy10] State: SEEKING_COVER -> IN_COVER
[05:15:17] [ENEMY] [Enemy10] State: IN_COVER -> COMBAT
[05:15:17] [ENEMY] [Enemy1] Enemy spawned at (300, 350), health: 2, behavior: GUARD, player_found: yes
[05:15:17] [ENEMY] [Enemy2] Enemy spawned at (400, 550), health: 3, behavior: GUARD, player_found: yes
[05:15:17] [ENEMY] [Enemy3] Enemy spawned at (700, 750), health: 3, behavior: GUARD, player_found: yes
[05:15:17] [ENEMY] [Enemy4] Enemy spawned at (800, 900), health: 3, behavior: GUARD, player_found: yes
[05:15:17] [ENEMY] [Enemy5] Enemy spawned at (1700, 350), health: 3, behavior: GUARD, player_found: yes
[05:15:17] [ENEMY] [Enemy6] Enemy spawned at (1950, 450), health: 3, behavior: GUARD, player_found: yes
[05:15:17] [ENEMY] [Enemy7] Enemy spawned at (1600, 900), health: 2, behavior: PATROL, player_found: yes
[05:15:17] [ENEMY] [Enemy8] Enemy spawned at (1900, 1450), health: 4, behavior: GUARD, player_found: yes
[05:15:17] [ENEMY] [Enemy9] Enemy spawned at (2100, 1550), health: 2, behavior: GUARD, player_found: yes
[05:15:17] [ENEMY] [Enemy10] Enemy spawned at (1200, 1550), health: 2, behavior: PATROL, player_found: yes
[05:15:18] [ENEMY] [Enemy10] State: IDLE -> COMBAT
[05:15:18] [ENEMY] [Enemy10] State: COMBAT -> PURSUING
[05:15:19] [ENEMY] [Enemy3] State: IDLE -> COMBAT
[05:15:20] [ENEMY] [Enemy3] State: COMBAT -> PURSUING
[05:15:23] [ENEMY] [Enemy3] State: PURSUING -> COMBAT
[05:15:26] [ENEMY] [Enemy3] State: COMBAT -> SEEKING_COVER
[05:15:26] [ENEMY] [Enemy3] State: SEEKING_COVER -> IN_COVER
[05:15:26] [ENEMY] [Enemy3] State: IN_COVER -> COMBAT
[05:15:27] [ENEMY] [Enemy10] State: PURSUING -> FLANKING
[05:15:27] [ENEMY] [Enemy10] State: FLANKING -> COMBAT
[05:15:27] [ENEMY] [Enemy10] State: COMBAT -> PURSUING
[05:15:28] [ENEMY] [Enemy3] State: COMBAT -> SEEKING_COVER
[05:15:28] [ENEMY] [Enemy3] State: SEEKING_COVER -> IN_COVER
[05:15:28] [ENEMY] [Enemy3] State: IN_COVER -> COMBAT
[05:15:28] [ENEMY] [Enemy10] State: PURSUING -> FLANKING
[05:15:29] [ENEMY] [Enemy10] State: FLANKING -> COMBAT
[05:15:29] [ENEMY] [Enemy10] State: COMBAT -> PURSUING
[05:15:31] [ENEMY] [Enemy3] State: COMBAT -> SEEKING_COVER
[05:15:31] [ENEMY] [Enemy3] State: SEEKING_COVER -> IN_COVER
[05:15:31] [ENEMY] [Enemy3] State: IN_COVER -> COMBAT
[05:15:34] [ENEMY] [Enemy3] State: COMBAT -> SEEKING_COVER
[05:15:34] [ENEMY] [Enemy3] State: SEEKING_COVER -> IN_COVER
[05:15:34] [ENEMY] [Enemy3] State: IN_COVER -> COMBAT
[05:15:36] [ENEMY] [Enemy10] State: PURSUING -> COMBAT
[05:15:37] [ENEMY] [Enemy3] State: COMBAT -> SEEKING_COVER
[05:15:37] [ENEMY] [Enemy3] State: SEEKING_COVER -> IN_COVER
[05:15:37] [ENEMY] [Enemy3] State: IN_COVER -> COMBAT
[05:15:38] [ENEMY] [Enemy10] State: COMBAT -> SEEKING_COVER
[05:15:38] [ENEMY] [Enemy10] State: SEEKING_COVER -> IN_COVER
[05:15:38] [ENEMY] [Enemy10] State: IN_COVER -> COMBAT
[05:15:39] [ENEMY] [Enemy3] State: COMBAT -> SEEKING_COVER
[05:15:39] [ENEMY] [Enemy3] State: SEEKING_COVER -> IN_COVER
[05:15:39] [ENEMY] [Enemy3] State: IN_COVER -> COMBAT
[05:15:41] [ENEMY] [Enemy10] State: COMBAT -> SEEKING_COVER
[05:15:41] [ENEMY] [Enemy10] State: SEEKING_COVER -> IN_COVER
[05:15:41] [ENEMY] [Enemy10] State: IN_COVER -> COMBAT
[05:15:42] [ENEMY] [Enemy3] State: COMBAT -> SEEKING_COVER
