keys,en,ru
PAUSED,PAUSED,ПАУЗА
RESUME,Resume,Продолжить
ARMORY,Armory,Арсенал
LEVELS,Levels,Уровни
TRAINING,Training,Тренировка
ROGUELIKE,Roguelike,Рогалик
ARENA,Arena,Арена
SETTINGS,Settings,Настройки
QUIT,Quit,Выход
SETTINGS_TITLE,Settings,Настройки
CONTROLS,Controls,Управление
DIFFICULTY,Difficulty,Сложность
SOUND,Sound,Звук
GAMEPLAY,Gameplay,Геймплей
PERFORMANCE,Performance,Производительность
EXPERIMENTAL,Experimental,Экспериментальные
LANGUAGE,Language,Язык
BACK,Back,Назад
SOUND_SETTINGS_TITLE,Sound Settings,Настройки звука
EFFECTS_VOLUME,Effects Volume,Громкость эффектов
MUSIC_VOLUME,Music Volume,Громкость музыки
GAMEPLAY_SETTINGS_TITLE,Gameplay Settings,Настройки геймплея
BLOOD_AMOUNT,Blood Amount,Количество крови
WEAPON_HINTS,Weapon Hints,Подсказки оружия
REVOLVER_AIM_ASSIST,Revolver Aim Assist,Помощь прицеливания револьвера
COMBO_FONT_SIZE,Combo Font Size,Размер шрифта комбо
WEAPON_HINTS_ALWAYS,Always,Всегда
WEAPON_HINTS_FIRST_TIME,First time only,Только первый раз
WEAPON_HINTS_NEVER,Never,Никогда
DIFFICULTY_TITLE,Difficulty,Сложность
NIGHT_MODE,Night Mode,Ночной режим
POWER_FANTASY,Power Fantasy,Фэнтези силы
EASY,Easy,Легко
NORMAL,Normal,Нормально
HARD,Hard,Сложно
EASY_SELECTED,Easy (Selected),Легко (выбрано)
NORMAL_SELECTED,Normal (Selected),Нормально (выбрано)
HARD_SELECTED,Hard (Selected),Сложно (выбрано)
DIFFICULTY_STATUS_NORMAL,Normal mode: Classic gameplay,Нормальный режим: классический геймплей
CONTROLS_TITLE,Controls,Управление
APPLY,Apply,Применить
RESET,Reset,Сброс
CONTROLS_KEY_CONFLICT_TITLE,Key Conflict,Конфликт клавиш
PERFORMANCE_TITLE,Performance,Производительность
PERFORMANCE_DESCRIPTION,Toggle subsystems to measure their performance impact.,Переключайте подсистемы для измерения их влияния на производительность.
PARTICLE_EFFECTS,Particle Effects,Эффекты частиц
BLOOD_DECALS,Blood Decals on Floor/Walls,Следы крови на полу/стенах
SCREEN_SHAKE,Screen Shake,Дрожание экрана
EXPLOSION_LIGHTS,Explosion/Flashbang Lights,Свет от взрывов/вспышек
WALL_HIT_PARTICLES,Wall Hit Particles,Частицы от попаданий в стену
ENEMY_AI,Enemy AI,ИИ врагов
RUN_BENCHMARK,Run Benchmark,Запустить тест
QUICK_TEST,Quick Test (1 cycle),Быстрый тест (1 цикл)
STRESS_BENCHMARK,Stress Benchmark,Стресс-тест
PERFORMANCE_ALL_ENABLED,All performance features enabled,Все функции производительности включены
LANGUAGE_TITLE,Language,Язык
LANGUAGE_ENGLISH,English,English
LANGUAGE_RUSSIAN,Русский,Русский
ARMORY_UNAVAILABLE_ROGUELIKE,Armory is not available in roguelike mode,Арсенал недоступен в режиме рогалика
COMPLETE_LEVELS_TO_UNLOCK_ROGUELIKE,Complete all levels on any rank to unlock roguelike,"Пройдите все уровни на любой ранг, чтобы разблокировать рогалик"
CONTROLS_PRESS_KEY,Press a key...,Нажмите клавишу...
CONTROLS_CHANGES_PENDING,Changes pending. Click Apply to save.,Есть несохранённые изменения. Нажмите Применить.
CONTROLS_SETTINGS_SAVED,Settings saved!,Настройки сохранены!
CONTROLS_RESET_DEFAULTS,Controls reset to defaults.,Управление сброшено к значениям по умолчанию.
CONTROLS_NOT_SET,Not Set,Не задано
GUNSLINGER,Gunslinger,Стрелок
GUNSLINGER_SELECTED,Gunslinger (Selected),Стрелок (выбрано)
DIFFICULTY_STATUS_GUNSLINGER,"Gunslinger: 2x less HP, 4x ammo, no laser sights","Стрелок: в 2 раза меньше HP, в 4 раза больше патронов, без лазерных прицелов"
DIFFICULTY_STATUS_POWER_FANTASY,"Power Fantasy: 10 HP, 3x ammo, blue lasers","Фэнтези силы: 10 HP, 3x патроны, синие лазеры"
DIFFICULTY_STATUS_EASY,Easy mode: Enemies react slower,Лёгкий режим: враги реагируют медленнее
DIFFICULTY_STATUS_HARD,Hard mode: Enemies react when you look away,Сложный режим: враги реагируют когда смотришь в сторону
DIFFICULTY_STATUS_BLACK_METAL,"Black Metal: 25% less HP, 25% faster, B&W filter","Black Metal: на 25% меньше HP, быстрее, ч/б фильтр"
DIFFICULTY_STATUS_NIGHT_MODE_ON, | Night Mode ON, | Ночной режим ВКЛ
DIFFICULTY_STATUS_FIRST_LAUNCH,Choose your difficulty to begin,Выберите сложность для начала
ARMORY_TITLE,Armory,Арсенал
ARMORY_WEAPONS,WEAPONS,ОРУЖИЕ
ARMORY_GRENADES,GRENADES,ГРАНАТЫ
ARMORY_SPECIAL,SPECIAL,СПЕЦСНАРЯЖЕНИЕ
ARMORY_CURRENT_LOADOUT,CURRENT LOADOUT,ТЕКУЩЕЕ СНАРЯЖЕНИЕ
ARMORY_SHOW_ALL,Show all ▼,Показать всё ▼
ARMORY_SHOW_LESS,Show less ▲,Скрыть ▲
ARMORY_SECTION_WEAPON,WEAPON:,ОРУЖИЕ:
ARMORY_SECTION_GRENADE,GRENADE:,ГРАНАТА:
ARMORY_SECTION_ACTIVE_ITEM,ACTIVE ITEM:,СПЕЦСНАРЯЖЕНИЕ:
ARMORY_NO_WEAPON,No weapon,Нет оружия
ARMORY_NO_GRENADE,No grenade,Нет гранаты
ARMORY_NO_ACTIVE_ITEM,None,Нет
ARMORY_NO_DATA,No data available,Нет данных
ARMORY_NO_ACTIVE_ITEM_DESC,No active item equipped.,Спецснаряжение не выбрано.
WEAPON_PM_NAME,PM,ПМ
WEAPON_PM_DESC,Makarov PM — 9x18mm starting pistol. 9-round magazine. Medium ricochets.,ПМ — пистолет Макарова 9x18мм. Магазин 9 патронов. Средние рикошеты.
WEAPON_M16_NAME,M16,M16
WEAPON_M16_DESC,Assault rifle with auto/burst modes and red laser sight.,Штурмовая винтовка с режимами авто/очередь и красным лазером.
WEAPON_SHOTGUN_NAME,Shotgun,Дробовик
WEAPON_SHOTGUN_DESC,Pump-action shotgun — shell-by-shell loading. Multi-pellet spread.,Помповый дробовик — зарядка по одному патрону. Дробь широким конусом.
WEAPON_MINI_UZI_NAME,Mini UZI,Мини УЗИ
WEAPON_MINI_UZI_DESC,High fire rate SMG — progressive spread. Ricochets at shallow angles.,SMG с высокой скорострельностью — нарастающий разброс. Рикошеты на малых углах.
WEAPON_SILENCED_PISTOL_NAME,Silenced Pistol,Пистолет с глушителем
WEAPON_SILENCED_PISTOL_DESC,Beretta M9 with suppressor — silent. Stuns enemies on hit.,Beretta M9 с глушителем — бесшумный. Оглушает врагов при попадании.
WEAPON_ASVK_NAME,ASVK,АСВК
WEAPON_ASVK_DESC,"ASVK anti-materiel sniper rifle — 12.7x108mm, 50 damage. Penetrates 2 walls and enemies. Bolt-action. 5-round magazine. RMB to scope.","АСВК — крупнокалиберная снайперская винтовка 12.7x108мм, 50 урона. Пробивает 2 стены и врагов. Продольно-скользящий затвор. Магазин 5 патронов. ПКМ для прицеливания."
WEAPON_RSH12_NAME,RSh-12,РШ-12
WEAPON_RSH12_DESC,"RSh-12 heavy revolver — 12.7x55mm, 20 damage. Penetrates walls (200px). Weak ricochet, strong recoil. 5-round cylinder.","РШ-12 — тяжёлый револьвер 12.7x55мм, 20 урона. Пробивает стены (200пкс). Слабый рикошет, сильная отдача. Барабан 5 патронов."
WEAPON_AK_GL_NAME,AK + GL,АК + ГП
WEAPON_AK_GL_DESC,"AK with GP-25 grenade launcher — 7.62x39mm, 30-round magazine. RMB fires VOG-25 grenade (1 shot).","АК с подствольным гранатомётом ГП-25 — 7.62x39мм, магазин 30 патронов. ПКМ — выстрел гранатой ВОГ-25 (1 заряд)."
GRENADE_FLASHBANG_NAME,Flashbang,Светошумовая
GRENADE_FLASHBANG_DESC,"Stun grenade — blinds enemies for 12s, stuns for 6s. 4-second fuse.","Светошумовая граната — слепит врагов на 12с, оглушает на 6с. Таймер 4 секунды."
GRENADE_FRAG_NAME,Frag Grenade,Наступательная
GRENADE_FRAG_DESC,Offensive grenade — explodes on impact. Releases 4 shrapnel pieces.,Наступательная граната — взрыв при ударе. Выпускает 4 осколка.
GRENADE_DEFENSIVE_NAME,F-1 Grenade,Граната Ф-1
GRENADE_DEFENSIVE_DESC,"Defensive grenade — 4-second fuse. Releases 40 shrapnel pieces. 700px damage radius.","Оборонительная граната — таймер 4 секунды. 40 осколков. Радиус поражения 700пкс."
GRENADE_AGGRESSION_GAS_NAME,Aggression Gas,Газ агрессии
GRENADE_AGGRESSION_GAS_DESC,"Gas grenade — 4-second fuse. Releases aggression gas. Enemies attack each other for 10s. Gas lasts 20s.","Газовая граната — таймер 4 секунды. Газ агрессии. Враги атакуют друг друга 10с. Газ держится 20с."
GRENADE_DRONE_NAME,Drone,Дрон
GRENADE_DRONE_DESC,Drone grenade — pilot a drone toward enemies. Explodes on contact or when hit by a bullet. Control returns after explosion.,Гранатодрон — управляйте дроном и направляйте его на врагов. Взрывается при контакте или попадании пули.
ITEM_NONE_NAME,None,Нет
ITEM_FLASHLIGHT_NAME,Flashlight,Фонарик
ITEM_FLASHLIGHT_DESC,Tactical flashlight — hold Space to illuminate in weapon direction.,Тактический фонарик — удерживайте Пробел для освещения в направлении оружия.
ITEM_HOMING_BULLETS_NAME,Homing Bullets,Самонаводящиеся пули
